Model,MAE,RMSE,R2
Random Forest,1.311617530339421,1.8124448515310798,0.9643556621549573
Gradient Boosting,2.6880663033874366,3.402336078598465,0.8743925582104545
Linear Regression,5.564030045031412,6.915892185091612,0.48101192608424137
