city,datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds
Ho Chi Minh City,2026-03-20 18:00:00,25.31,25.88,25.31,25.31,1012,76,3.79,15
Ho Chi Minh City,2026-03-20 21:00:00,24.67,25.23,24.67,24.67,1011,78,3.16,36
Ho Chi Minh City,2026-03-21 00:00:00,25.51,26.13,25.51,25.51,1013,77,4.06,56
Ho Chi Minh City,2026-03-21 03:00:00,31.46,32.78,31.46,31.46,1013,47,3.77,74
Ho Chi Minh City,2026-03-21 06:00:00,33.77,35.55,33.77,33.77,1010,42,5.03,89
Ho Chi Minh City,2026-03-21 09:00:00,31.24,32.24,31.24,31.24,1009,46,6.53,80
Ho Chi Minh City,2026-03-21 12:00:00,27.34,28.87,27.34,27.34,1011,64,6.1,58
Ho Chi Minh City,2026-03-21 15:00:00,26.13,26.13,26.13,26.13,1012,69,5.73,68
Ho Chi Minh City,2026-03-21 18:00:00,25.21,25.85,25.21,25.21,1011,79,4.36,43
Ho Chi Minh City,2026-03-21 21:00:00,25.04,25.61,25.04,25.04,1011,77,3.68,54
Ho Chi Minh City,2026-03-22 00:00:00,25.38,25.91,25.38,25.38,1012,74,3.7,65
Ho Chi Minh City,2026-03-22 03:00:00,31.73,32.24,31.73,31.73,1013,42,3.5,83
Ho Chi Minh City,2026-03-22 06:00:00,36.47,37.45,36.47,36.47,1009,32,2.04,71
Ho Chi Minh City,2026-03-22 09:00:00,31.81,33.14,31.81,31.81,1007,46,6.59,64
Ho Chi Minh City,2026-03-22 12:00:00,26.88,28.73,26.88,26.88,1010,71,6.69,46
Ho Chi Minh City,2026-03-22 15:00:00,25.93,26.46,25.93,25.93,1011,72,6.55,49
Ho Chi Minh City,2026-03-22 18:00:00,25.3,25.97,25.3,25.3,1010,80,4.28,28
Ho Chi Minh City,2026-03-22 21:00:00,25.35,26.03,25.35,25.35,1010,80,4.42,79
Ho Chi Minh City,2026-03-23 00:00:00,25.55,26.14,25.55,25.55,1012,76,3.78,42
Ho Chi Minh City,2026-03-23 03:00:00,31.63,33.05,31.63,31.63,1012,47,3.14,1
Ho Chi Minh City,2026-03-23 06:00:00,36.37,37.88,36.37,36.37,1008,34,1.44,3
Ho Chi Minh City,2026-03-23 09:00:00,30.23,31.39,30.23,30.23,1007,50,7.01,97
Da Nang,2026-03-18 12:00:00,24.99,25.71,23.84,24.99,1013,83,3.98,20
Da Nang,2026-03-18 15:00:00,24.3,25.0,22.92,24.3,1013,85,2.72,14
Da Nang,2026-03-18 18:00:00,23.25,23.9,22.38,23.25,1012,87,3.07,23
Da Nang,2026-03-18 21:00:00,21.58,22.12,21.58,21.58,1012,89,2.77,32
Da Nang,2026-03-19 00:00:00,21.43,21.95,21.43,21.43,1014,89,3.55,18
Da Nang,2026-03-19 03:00:00,25.43,26.09,25.43,25.43,1014,79,3.91,0
Da Nang,2026-03-19 06:00:00,26.09,26.09,26.09,26.09,1013,78,5.05,0
Da Nang,2026-03-19 09:00:00,24.56,25.16,24.56,24.56,1011,80,4.69,0
Da Nang,2026-03-19 12:00:00,23.43,24.1,23.43,23.43,1012,87,4.3,5
Da Nang,2026-03-19 15:00:00,22.7,23.38,22.7,22.7,1013,90,4.47,63
Da Nang,2026-03-19 18:00:00,21.62,22.21,21.62,21.62,1011,91,3.56,35
Da Nang,2026-03-19 21:00:00,21.4,21.97,21.4,21.4,1010,91,3.92,5
Da Nang,2026-03-20 00:00:00,22.13,22.7,22.13,22.13,1012,88,3.81,6
Da Nang,2026-03-20 03:00:00,24.42,24.98,24.42,24.42,1013,79,4.27,5
Da Nang,2026-03-20 06:00:00,25.38,26.09,25.38,25.38,1011,81,6.74,8
Da Nang,2026-03-20 09:00:00,24.89,25.6,24.89,24.89,1010,83,5.13,19
Da Nang,2026-03-20 12:00:00,23.88,24.62,23.88,23.88,1012,88,4.53,60
Da Nang,2026-03-20 15:00:00,23.36,24.1,23.36,23.36,1014,90,3.77,27
Da Nang,2026-03-20 18:00:00,22.61,23.3,22.61,22.61,1012,91,3.32,36
Da Nang,2026-03-20 21:00:00,22.09,22.7,22.09,22.09,1012,90,2.87,8
Da Nang,2026-03-21 00:00:00,22.73,23.36,22.73,22.73,1014,88,2.98,7
Da Nang,2026-03-21 03:00:00,24.8,25.45,24.8,24.8,1015,81,4.86,8
Da Nang,2026-03-21 06:00:00,25.34,26.04,25.34,25.34,1013,81,5.01,7
Da Nang,2026-03-21 09:00:00,25.6,26.25,25.6,25.6,1011,78,4.39,7
Da Nang,2026-03-21 12:00:00,23.95,24.7,23.95,23.95,1013,88,3.58,12
Da Nang,2026-03-21 15:00:00,23.7,24.53,23.7,23.7,1014,92,3.08,32
Da Nang,2026-03-21 18:00:00,23.13,23.95,23.13,23.13,1013,94,3.55,36
Da Nang,2026-03-21 21:00:00,22.24,23.0,22.24,22.24,1012,95,2.67,40
Da Nang,2026-03-22 00:00:00,22.78,23.52,22.78,22.78,1014,92,2.62,52
Da Nang,2026-03-22 03:00:00,24.55,25.2,24.55,24.55,1015,82,3.81,83
Da Nang,2026-03-22 06:00:00,25.03,25.7,25.03,25.03,1013,81,5.43,65
Da Nang,2026-03-22 09:00:00,24.84,25.47,24.84,24.84,1011,80,5.23,17
Da Nang,2026-03-22 12:00:00,23.66,24.33,23.66,23.66,1013,86,3.3,14
Da Nang,2026-03-22 15:00:00,22.92,23.59,22.92,22.92,1014,89,2.95,4
Da Nang,2026-03-22 18:00:00,22.15,22.77,22.15,22.15,1012,90,2.88,4
Da Nang,2026-03-22 21:00:00,21.67,22.24,21.67,21.67,1011,90,2.58,2
Da Nang,2026-03-23 00:00:00,22.16,22.76,22.16,22.16,1013,89,3.25,1
Da Nang,2026-03-23 03:00:00,24.54,25.14,24.54,24.54,1014,80,5.07,1
Da Nang,2026-03-23 06:00:00,25.04,25.66,25.04,25.04,1011,79,5.68,1
Da Nang,2026-03-23 09:00:00,24.8,25.42,24.8,24.8,1010,80,4.93,2
Can Tho,2026-03-18 12:00:00,27.99,31.77,27.99,28.04,1010,78,5.47,40
Can Tho,2026-03-18 15:00:00,27.02,29.69,25.08,27.02,1011,79,3.38,28
Can Tho,2026-03-18 18:00:00,25.59,26.45,24.39,25.59,1011,86,1.55,15
Can Tho,2026-03-18 21:00:00,23.31,24.1,23.31,23.31,1011,92,1.93,44
Can Tho,2026-03-19 00:00:00,24.54,25.22,24.54,24.54,1013,83,1.58,43
Can Tho,2026-03-19 03:00:00,29.13,29.35,29.13,29.13,1013,46,3.8,17
Can Tho,2026-03-19 06:00:00,33.06,32.38,33.06,33.06,1009,32,4.45,13
Can Tho,2026-03-19 09:00:00,35.02,35.14,35.02,35.02,1007,32,6.7,26
Can Tho,2026-03-19 12:00:00,27.88,28.32,27.88,27.88,1010,50,4.99,15
Can Tho,2026-03-19 15:00:00,24.17,24.68,24.17,24.17,1013,78,2.43,0
Can Tho,2026-03-19 18:00:00,23.01,23.61,23.01,23.01,1012,86,1.87,10
Can Tho,2026-03-19 21:00:00,22.46,23.11,22.46,22.46,1011,90,1.84,5
Can Tho,2026-03-20 00:00:00,24.13,24.71,24.13,24.13,1013,81,2.74,28
Can Tho,2026-03-20 03:00:00,31.5,32.45,31.5,31.5,1013,45,3.83,13
Can Tho,2026-03-20 06:00:00,36.18,36.97,36.18,36.18,1009,32,3.23,16
Can Tho,2026-03-20 09:00:00,34.75,35.19,34.75,34.75,1007,34,6.2,74
Can Tho,2026-03-20 12:00:00,28.08,28.73,28.08,28.08,1010,52,4.47,50
Can Tho,2026-03-20 15:00:00,24.49,24.93,24.49,24.49,1013,74,1.88,9
Can Tho,2026-03-20 18:00:00,23.48,24.02,23.48,23.48,1012,82,2.18,9
Can Tho,2026-03-20 21:00:00,22.93,23.6,22.93,22.93,1011,89,1.24,40
Can Tho,2026-03-21 00:00:00,24.69,25.38,24.69,24.69,1013,83,2.78,63
Can Tho,2026-03-21 03:00:00,31.92,33.11,31.92,31.92,1013,45,4.05,100
Can Tho,2026-03-21 06:00:00,34.03,35.74,34.03,34.03,1010,41,4.9,79
Can Tho,2026-03-21 09:00:00,33.79,34.59,33.79,33.79,1008,38,5.94,69
Can Tho,2026-03-21 12:00:00,27.92,28.63,27.92,27.92,1011,53,4.69,52
Can Tho,2026-03-21 15:00:00,24.65,25.16,24.65,24.65,1012,76,2.66,40
Can Tho,2026-03-21 18:00:00,23.52,24.15,23.52,23.52,1012,85,1.64,32
Can Tho,2026-03-21 21:00:00,22.99,23.67,22.99,22.99,1011,89,1.56,6
Can Tho,2026-03-22 00:00:00,24.77,25.44,24.77,24.77,1012,82,2.82,30
Can Tho,2026-03-22 03:00:00,32.21,33.17,32.21,32.21,1013,43,4.96,88
Can Tho,2026-03-22 06:00:00,35.12,36.56,35.12,35.12,1009,37,5.37,88
Can Tho,2026-03-22 09:00:00,33.21,34.12,33.21,33.21,1007,40,5.7,100
Can Tho,2026-03-22 12:00:00,27.37,28.83,27.37,27.37,1010,63,5.73,79
Can Tho,2026-03-22 15:00:00,24.72,25.41,24.72,24.72,1012,83,2.54,2
Can Tho,2026-03-22 18:00:00,23.34,23.92,23.34,23.34,1010,84,1.9,1
Can Tho,2026-03-22 21:00:00,22.6,23.27,22.6,22.6,1010,90,1.18,1
Can Tho,2026-03-23 00:00:00,24.78,25.3,24.78,24.78,1012,76,2.43,1
Can Tho,2026-03-23 03:00:00,32.0,34.13,32.0,32.0,1012,49,4.94,5
Can Tho,2026-03-23 06:00:00,33.69,35.4,33.69,33.69,1009,42,4.37,43
Can Tho,2026-03-23 09:00:00,32.3,33.52,32.3,32.3,1007,44,5.27,100
